주제,설명,역할,영어,한글
"✈️ [여행] 리조트 다이닝 예약 (심화)","대형 리조트 내부의 레스토랑에서 저녁 식사를 예약하고 좌석을 요청하는 상황입니다.","나","Could we get a quiet table inside?","안쪽 조용한 자리로 받을 수 있을까요?"
"✈️ [여행] 리조트 다이닝 예약 (심화)","대형 리조트 내부의 레스토랑에서 저녁 식사를 예약하고 좌석을 요청하는 상황입니다.","직원","I can arrange a nice booth for you. May I have your name?","좋은 부스 자리로 준비해 드릴 수 있습니다. 성함이 어떻게 되시나요?"
"✈️ [여행] 리조트 다이닝 예약 (심화)","대형 리조트 내부의 레스토랑에서 저녁 식사를 예약하고 좌석을 요청하는 상황입니다.","나","It's Kim. Do you have a dress code here?","김입니다. 여기에 복장 규정이 있나요?"
"✈️ [여행] 리조트 다이닝 예약 (심화)","대형 리조트 내부의 레스토랑에서 저녁 식사를 예약하고 좌석을 요청하는 상황입니다.","직원","Smart casual is fine. Just no flip-flops, please.","단정한 캐주얼이면 괜찮습니다. 슬리퍼만 피해주세요."
"✈️ [여행] 리조트 다이닝 예약 (심화)","대형 리조트 내부의 레스토랑에서 저녁 식사를 예약하고 좌석을 요청하는 상황입니다.","나","Understood. See you at 7:30.","알겠습니다. 7시 30분에 뵐게요."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","직원","Hello! Are you looking for any specific guitar today?","안녕하세요! 오늘 특별히 찾으시는 기타가 있나요?"
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","나","Yes, I'm looking for a Martin acoustic guitar.","네, 마틴 어쿠스틱 기타를 찾고 있어요."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","직원","Great choice. Are you interested in a particular series?","탁월한 선택입니다. 특정 시리즈에 관심이 있으신가요?"
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","나","I'd like to see the X Series Special model, please.","X 시리즈 스페셜 모델을 보고 싶습니다."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","직원","We have one right here. Would you like to play it?","바로 여기에 하나 있습니다. 한번 연주해 보시겠어요?"
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","나","Sure. By the way, does this model come with a pickup system?","네. 그런데 이 모델에 픽업 장치가 장착되어 나오나요?"
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","직원","Yes, it has a built-in pickup, so you can plug it into an amp.","네, 내장 픽업이 있어서 앰프에 바로 연결하실 수 있습니다."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","나","That's exactly what I need. The sound is very warm.","제가 딱 필요했던 거네요. 소리가 아주 따뜻합니다."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","직원","Martin guitars are known for their rich tone.","마틴 기타는 풍부한 톤으로 유명하죠."
"🎸 [취미] 어쿠스틱 기타 문의 (심화)","악기점에서 특정 브랜드의 어쿠스틱 기타와 픽업 사양을 구체적으로 문의합니다.","나","I'll take it. Could you check the serial number for me?","이걸로 할게요. 시리얼 번호 좀 확인해 주시겠어요?"
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","나","Excuse me, could you recommend a good place to walk around here?","실례합니다, 이 근처에 걷기 좋은 곳을 추천해주실 수 있나요?"
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","행인","Sure. The coastal walking path is really famous and beautiful.","물론이죠. 이곳은 해안 산책로가 정말 유명하고 아름답습니다."
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","나","That sounds wonderful. How long does the trail take?","정말 멋지네요. 산책 코스는 얼마나 걸리나요?"
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","행인","It usually takes about an hour if you walk slowly.","천천히 걸으면 보통 한 시간 정도 걸립니다."
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","나","Is it safe to walk there in the evening?","저녁에 그곳을 걷는 게 안전한가요?"
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","행인","Yes, it's well-lit, but it can get quite windy.","네, 조명이 잘 되어 있지만 바람이 꽤 불 수 있습니다."
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","나","I will bring a jacket then. Which way should I go?","그럼 재킷을 챙겨야겠네요. 어느 쪽으로 가야 하나요?"
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","행인","Just head straight towards the beach and turn right.","해변 쪽으로 곧장 가시다가 오른쪽으로 도시면 됩니다."
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","나","Thanks for the tip. I appreciate it.","좋은 정보 감사합니다. 고맙습니다."
"🌊 [여행] 해안 산책로 묻기 (심화)","바닷가 여행지에서 현지인에게 경치 좋은 해안 산책로를 추천받는 상황입니다.","행인","Enjoy the ocean view!","멋진 바다 풍경 즐기세요!"
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","나","Welcome to Jeloday! Feel free to look around.","젤로데이에 오신 것을 환영합니다! 편하게 둘러보세요."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","손님","Thank you. Your silver rings look very unique.","감사합니다. 은반지들이 아주 독특해 보이네요."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","나","Thanks. We design and craft all these silver accessories ourselves.","감사합니다. 이 은 액세서리들은 모두 저희가 직접 디자인하고 제작합니다."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","손님","Wow, that's impressive. What kind of silver do you use?","와, 인상적이네요. 어떤 종류의 은을 사용하시나요?"
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","나","We only use high-quality 925 sterling silver.","저희는 고품질 925 스털링 실버만 사용합니다."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","손님","Can I try this bracelet on? I really like the design.","이 팔찌 한번 착용해 봐도 될까요? 디자인이 정말 마음에 드네요."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","나","Of course. Let me help you with the clasp.","물론이죠. 잠금장치 채우는 것을 도와드릴게요."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","손님","It fits perfectly. Do you have an online store as well?","사이즈가 딱 맞네요. 온라인 스토어도 운영하시나요?"
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","나","Yes, we run both online and physical branches.","네, 저희는 온라인 스토어와 오프라인 매장을 모두 운영하고 있습니다."
"💍 [비즈니스] 쥬얼리샵 응대 (심화)","매장에 방문한 외국인 고객에게 은제품 라인업을 소개하는 상황입니다.","손님","That's good to know. I'll take this bracelet today.","알아두면 좋겠네요. 오늘은 이 팔찌로 할게요."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","직원","Welcome to the park golf club. Do you need to rent equipment?","파크골프 클럽에 오신 것을 환영합니다. 장비 대여가 필요하신가요?"
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","나","Yes, I need one club and a ball.","네, 클럽 하나와 공 하나가 필요합니다."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","직원","Here is our standard club. It's quite easy to swing.","여기 기본 클럽이 있습니다. 스윙하기 꽤 편하실 거예요."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","나","Actually, do you have a club with a slightly heavier head?","실은, 헤드가 조금 더 무거운 클럽도 있나요?"
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","직원","Yes, we have advanced models. Give this one a try.","네, 상급자용 모델이 있습니다. 이걸 한번 잡아보세요."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","나","This feels much better. What about the green speed today?","이게 훨씬 느낌이 좋네요. 오늘 그린 스피드는 어떤가요?"
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","직원","The greens are a bit fast today because it's dry.","오늘은 건조해서 그린이 조금 빠른 편입니다."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","나","Good to know. I'll have to be careful with my putting.","참고해야겠네요. 퍼팅할 때 조심해야겠습니다."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","직원","You can start at the first hole whenever you are ready.","준비되시면 언제든 1번 홀에서 시작하시면 됩니다."
"⛳ [스포츠] 파크골프 장비 대여 (심화)","해외 파크골프장에서 클럽 스펙을 묻고 라운딩을 준비하는 대화입니다.","나","Thank you. I'm looking forward to a great round.","감사합니다. 멋진 라운딩이 기대되네요."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","친구","Did you see the news about the upcoming KBO rookie draft?","다가오는 KBO 신인 드래프트 뉴스 봤어?"
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","나","Yes! I'm really curious about who the Lotte Giants will pick.","응! 롯데 자이언츠가 누굴 뽑을지 정말 궁금해."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","친구","There are some amazing high school pitching prospects this year.","올해 엄청난 고교 투수 유망주들이 몇 명 있더라."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","나","I completely agree. Lotte desperately needs a strong starting pitcher.","완전 동의해. 롯데는 강력한 선발 투수가 절실히 필요하거든."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","친구","Do you think they will prioritize pitching over hitting?","투수력을 타력보다 우선시할 거라고 생각해?"
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","나","Definitely. Good pitching is the key to winning championships.","당연하지. 좋은 투수력이 우승의 핵심 열쇠야."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","친구","I heard they are scouting a lefty with a fast fastball.","빠른 직구를 던지는 좌완 투수를 스카우트 중이라고 들었어."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","나","If they manage to draft him, the fans will go crazy.","만약 그 선수를 지명하는 데 성공한다면, 팬들이 난리 날 거야."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","친구","Let's hope their draft strategy works out this season.","이번 시즌 드래프트 전략이 잘 먹혀들기를 바라보자."
"⚾ [스포츠] 야구 드래프트 토크 (심화)","외국인 친구와 프로야구 신인 드래프트 유망주에 대해 토론합니다.","나","Fingers crossed. I can't wait for the new season to begin.","행운을 빌어야지. 빨리 새 시즌이 시작됐으면 좋겠어."
